OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,Household_Income
"1",Pulaski,"05119","119",63179,86751,109464,137727,156085,196685,242980,287189,340613,349660,361474,382748,399125,,,,806.81922018,2089661238.89241,284099.368352912,"60385"
"2",Van Buren,"05141","141",11220,13509,13666,11962,12518,9687,7228,8275,13357,14008,16192,17295,15796,,,,723.39214351,1873568491.47696,202834.131212187,"47266"
"3",Ouachita,"05103","103",20892,21774,20636,29890,31151,33051,31641,30896,30541,30574,28790,26120,22650,,,,739.18247184,1914473813.19258,288802.267840784,"49838"
"4",Lonoke,"05085","085",22544,27983,33400,33759,29802,27278,24551,26249,34518,39268,52828,68356,74015,,,,803.05973898,2079915175.56941,246133.113063683,"71449"
"5",Lawrence,"05075","075",16491,20001,22098,21663,22651,21303,17267,16320,18447,17457,17774,17415,16216,,,,592.26788121,1533952426.496,208267.287105935,"44164"
"6",Nevada,"05099","099",16609,19344,21934,20407,19869,14781,10700,10111,11097,10101,9955,8997,8310,,,,620.18383473,1606268757.97006,203916.143128565,"41761"
"7",Clark,"05019","019",21289,23686,25632,24932,24402,22998,20950,21537,23326,21437,23546,22995,21446,,,,882.25314395,2285025152.85166,305325.379203566,"50985"
"8",Dallas,"05039","039",11518,12621,14424,14671,14471,12416,10522,10022,10515,9614,9210,8116,6482,,,,667.47322886,1728747726.48555,248330.113630219,"44694"
"9",Benton,"05007","007",31611,33389,36253,35253,36148,38076,36272,50476,78115,97499,153406,221339,284333,,,,884.08398858,2289534635.7047,259120.62218415,"89879"
"10",Crittenden,"05035","035",14529,22447,29309,39717,42473,47184,47564,48106,49499,49939,50866,50902,48163,,,,643.48198316,1666610685.38767,252954.542887953,"54271"
"11",Clay,"05021","021",15886,23690,27276,27278,28386,26674,21258,18771,20616,18107,17609,16083,14552,,,,641.69324917,1661977885.62717,230199.481998132,"48500"
"12",Marion,"05089","089",11377,10203,10154,8876,9464,8609,6041,7000,11334,12001,16140,16653,16826,,,,639.72378877,1656877006.60018,213041.408831986,"46953"
"13",Jefferson,"05069","069",40972,52734,60330,64154,65101,76075,81373,85329,90718,85487,84278,77435,67260,,,,915.49637874,2371124735.67611,284952.017442329,"48552"
"14",Pike,"05109","109",10301,12565,12397,11792,11786,10032,7864,8711,10373,10086,11303,11291,10171,,,,613.49240848,1588938043.54534,227880.181234845,"51000"
"15",Hempstead,"05057","057",24101,28285,31602,30847,32770,25080,19661,19308,23635,21621,23587,22609,20065,,,,740.44133628,1917734257.13047,254776.962868562,"47654"
"16",Cross,"05037","037",11051,14042,18579,25723,26046,24757,19551,19783,20434,19225,19526,17870,16833,,,,622.40132317,1612012026.6546,165972.405184854,"47012"
"17",Faulkner,"05045","045",20780,23708,27681,28381,25880,25289,24303,31572,46192,60006,86014,113237,123498,,,,663.60818003,1718737295.97693,220192.941373785,"65071"
"18",Bradley,"05011","011",9651,14518,15970,17494,18097,15987,14029,12778,13803,11793,12600,11508,10545,,,,652.40977458,1689733559.022,251245.195414359,"39565"
"19",Calhoun,"05013","013",8539,9894,11807,9752,9636,7132,5991,5573,6079,5826,5744,5368,4739,,,,631.93111465,1636694073.28687,257909.491128684,"63654"
"20",Mississippi,"05093","093",16384,30468,47320,69289,80217,82375,70174,62060,59517,57525,51979,46480,40685,,,,931.48341333,2412530965.19141,297298.13398527,"53428"
"21",Greene,"05055","055",16979,23852,26105,26127,30204,29149,25198,24765,30744,31804,37331,42090,45736,,,,579.61148523,1501186855.17339,195385.883190435,"56793"
"22",Lafayette,"05073","073",10594,13741,15522,16934,16851,13203,11030,10018,10213,9643,8559,7645,6308,,,,545.36469567,1412488077.40293,245087.994528284,"37237"
"23",Columbia,"05027","027",22077,23820,27670,27320,29822,28770,26400,25952,26644,25691,25603,24552,22801,,,,766.25029202,1984579145.6274,189841.152747408,"47363"
"24",Ashley,"05003","003",19734,25268,23410,25151,26785,25660,24220,24976,26538,24319,24209,21853,19062,,,,939.9482991,2434454918.6883,238029.330992501,"44481"
"25",Chicot,"05017","017",14528,21987,21749,22646,27452,22306,18990,18164,17793,15713,14117,11800,10208,,,,690.83727502,1789260328.24064,282419.511713492,"39683"
"26",Cleveland,"05025","025",11620,13481,12260,12744,12570,8956,6944,6605,7868,7781,8571,8689,7550,,,,598.50659697,1550124969.91719,191779.872614333,"50509"
"27",Poinsett,"05111","111",7025,12791,20848,29695,37670,39311,30834,26822,27032,24664,25614,24583,22965,,,,763.95842155,1978643228.33747,195978.920962118,"47188"
"28",Craighead,"05031","031",19505,27627,37541,44740,47200,50613,47303,52068,63239,68956,82148,96443,111231,,,,712.79945599,1846142115.81722,203047.020894227,"57615"
"29",Fulton,"05049","049",12917,12193,11182,10834,10253,9187,6657,7699,9975,10037,11642,12245,12075,,,,620.09849404,1606047726.58911,180209.907689604,"38941"
"30",Drew,"05043","043",19451,21960,21822,19928,19831,17959,15213,15157,17910,17369,18723,18509,17350,,,,835.50786297,2164051728.44153,194672.836993158,"41071"
"31",Conway,"05029","029",19772,22729,22578,21949,21536,18137,15430,16805,19505,19151,20336,21273,20715,,,,566.05195371,1466070630.06518,208534.691726984,"51212"
"32",Carroll,"05015","015",18848,16829,17786,15820,14737,13244,11284,12301,16203,18654,25357,27446,28260,,,,638.2687324,1653156192.44446,212320.922434836,"55187"
"33",Boone,"05009","009",16396,14318,16098,14937,15860,16260,16116,19073,26067,28297,33948,36903,37373,,,,601.52971539,1557906632.58777,169617.095700194,"54195"
"34",Randolph,"05121","121",17156,18987,17713,16871,18319,15982,12520,12645,16834,16558,18195,17969,18571,,,,655.91558956,1698788564.02662,217781.157591597,"52838"
"35",Howard,"05061","061",14076,16898,18565,17489,16621,13342,10878,11412,13459,13569,14300,13789,12785,,,,861.30553443,1541836185.18759,247915.165075111,"44492"
"36",Union,"05139","139",22495,30723,29691,55800,50461,49686,49518,45428,48573,46719,45629,41639,39054,,,,1054.55752066,2731306970.46778,302653.900060812,"50221"
"37",Sebastian,"05131","131",36935,52278,56739,54426,62809,64202,66685,79237,95172,99590,115071,125744,127799,,,,544.21634596,1409365348.08208,216356.16314261,"56450"
"38",Montgomery,"05097","097",9444,12455,11112,10768,8876,6680,5370,5821,7771,7841,9245,9487,8484,,,,800.34862483,2072893422.15454,187323.658403199,"49015"
"39",Polk,"05113","113",18352,17216,16412,14857,15832,14182,11981,13297,17007,17347,20229,20662,19221,,,,861.30553443,2230833250.76777,218321.964752452,"49252"
"40",Scott,"05127","127",13183,14302,13232,11803,13300,10057,7297,8207,9685,10205,10996,11233,9836,,,,897.95844092,2325630624.4795,235602.368616129,"45955"
"41",Sevier,"05133","133",16339,16616,18301,16364,15248,12293,10156,11272,14060,13637,15757,17058,15839,,,,581.01487991,1504654307.25549,254401.846726098,"51641"
"42",Little River,"05081","081",13731,13597,16301,15515,15932,11690,9211,11194,13952,13966,13628,13171,12026,,,,563.04835767,1458266123.51275,321190.936779499,"52241"
"43",Miller,"05091","091",17558,19555,24021,30586,31874,32614,31686,33385,37766,38467,40443,43462,42600,,,,638.14830961,1652820533.68417,283618.576525129,"49983"
"51",Sharp,"05135","135",12199,11688,11132,10715,11497,8999,6319,8233,14607,14109,17119,17264,17271,,,,606.45256206,1570701582.2857,220045.256363455,"42950"
"44",Stone,"05137","137",8100,8946,8779,7993,8603,7662,6294,6838,9022,9775,11499,12394,12359,,,,609.20196228,1577862103.14536,206839.366471661,"38531"
"45",Pope,"05115","115",21715,24527,27153,26547,25682,23291,21177,28607,39021,45883,54469,61754,63381,,,,829.89384071,2149420196.80331,215213.485011893,"54606"
"46",Washington,"05143","143",34256,33889,35468,39255,41114,49979,55797,77370,100494,113409,157715,203065,245871,,,,951.73224993,2465019512.79268,227691.050052194,"66426"
"47",Crawford,"05033","033",21270,23942,25739,22549,23920,22727,21318,25677,36892,42493,53247,61948,60133,,,,605.39453559,1567957290.69365,217263.926652132,"60362"
"52",St. Francis,"05123","123",17157,22548,28385,33394,36043,36841,33303,30799,30858,28497,29329,28258,23090,,,,642.67586669,1664516770.42109,200637.602073254,"41784"
"63",Cleburne,"05023","023",9628,11903,12696,11373,13134,11487,9059,10349,16909,19411,24046,25970,24711,,,,591.77993578,1532684084.60673,160144.036864629,"55979"
"64",Jackson,"05067","067",18383,23501,25446,27943,26427,25912,22843,20452,21646,18944,18418,17997,16755,,,,641.36754031,1661117727.74797,241202.712044325,"41215"
"65",White,"05145","145",24864,28574,34603,38269,37176,38040,32745,39253,50835,54676,67165,77076,76822,,,,1041.50855428,2697542456.48882,339088.77060818,"53435"
"66",Logan,"05083","083",20563,26350,25866,24110,25967,20260,15957,16789,20144,20557,22486,22353,21131,,,,729.41717126,1889147954.44721,259587.304690739,"54237"
