fid,Name,State,State_FIPS,Parish_FIP,Parish_Num,Label,Population,Household Income
"1",Webster,LA,"22","119","60",WEBSTER PARISH,41207,"37396"
"2",East Carroll,LA,"22","035","18",EAST CARROLL PARISH,7759,"28321"
"3",West Carroll,LA,"22","123","62",WEST CARROLL PARISH,11604,"48514"
"4",Morehouse,LA,"22","067","34",MOREHOUSE PARISH,27979,"36981"
"5",Union,LA,"22","111","56",UNION PARISH,22721,"45743"
"6",Lincoln,LA,"22","061","31",LINCOLN PARISH,46735,"38035"
"7",Ouachita,LA,"22","073","37",OUACHITA PARISH,153720,"51241"
"8",Richland,LA,"22","083","42",RICHLAND PARISH,20725,"52960"
"9",Bienville,LA,"22","013","07",BIENVILLE PARISH,14353,"34992"
"10",Franklin,LA,"22","041","21",FRANKLIN PARISH,20767,"44103"
"11",Tensas,LA,"22","107","54",TENSAS PARISH,5252,"36074"
"12",Natchitoches,LA,"22","069","35",NATCHITOCHES PARISH,39566,"46798"
"13",Winn,LA,"22","127","64",WINN PARISH,15313,"46368"
"14",LaSalle,LA,"22","059","30",LASALLE PARISH,14890,"67077"
"15",Sabine,LA,"22","085","43",SABINE PARISH,24233,"52047"
"16",Grant,LA,"22","043","22",GRANT PARISH,22309,"61112"
"17",Rapides,LA,"22","079","40",RAPIDES PARISH,131613,"55946"
"18",Allen,LA,"22","003","02",ALLEN PARISH,25764,"51138"
"19",St. Bernard,LA,"22","087","44",ST. BERNARD PARISH,35897,"57638"
"20",Jefferson,LA,"22","051","26",JEFFERSON PARISH,432552,"65246"
"21",Orleans,LA,"22","071","36",ORLEANS PARISH,343829,"55339"
"22",Plaquemines,LA,"22","075","38",PLAQUEMINES PARISH,23042,"82874"
"23",Beauregard,LA,"22","011","06",BEAUREGARD PARISH,35654,"64995"
"24",Vernon,LA,"22","115","58",VERNON PARISH,52334,"58281"
"25",DeSoto,LA,"22","031","16",DESOTO PARISH,26656,"46077"
"26",Red River,LA,"22","081","41",RED RIVER PARISH,9091,"44539"
"27",Jackson,LA,"22","049","25",JACKSON PARISH,16274,"43345"
"28",Caldwell,LA,"22","021","11",CALDWELL PARISH,10132,"44957"
"29",Catahoula,LA,"22","025","13",CATAHOULA PARISH,10407,"47753"
"30",Concordia,LA,"22","029","15",CONCORDIA PARISH,20822,"37349"
"31",Claiborne,LA,"22","027","14",CLAIBORNE PARISH,17195,"31784"
"32",Bossier,LA,"22","015","08",BOSSIER PARISH,116979,"66336"
"33",Caddo,LA,"22","017","09",CADDO PARISH,254969,"50067"
"34",Madison,LA,"22","065","33",MADISON PARISH,12093,"37267"
"35",Avoyelles,LA,"22","009","05",AVOYELLES PARISH,42073,"39439"
"36",Washington,LA,"22","117","59",WASHINGTON PARISH,47168,"42776"
"37",Tangipahoa,LA,"22","105","53",TANGIPAHOA PARISH,121097,"57256"
"38",Evangeline,LA,"22","039","20",EVANGELINE PARISH,33984,"42273"
"39",St. Landry,LA,"22","097","49",ST. LANDRY PARISH,83384,"45637"
"40",St. Tammany,LA,"22","103","52",ST. TAMMANY PARISH,233740,"79277"
"41",Calcasieu,LA,"22","019","10",CALCASIEU PARISH,192768,"67849"
"42",Acadia,LA,"22","001","01",ACADIA PARISH,61773,"45266"
"43",St. Charles,LA,"22","089","45",ST. CHARLES PARISH,52780,"82172"
"44",Cameron,LA,"22","023","12",CAMERON PARISH,6839,"72500"
"45",St. Mary,LA,"22","101","51",ST. MARY PARISH,54650,"51768"
"46",Terrebonne,LA,"22","109","55",TERREBONNE PARISH,111860,"64819"
"47",Jefferson Davis,LA,"22","053","27",JEFFERSON DAVIS PARISH,31594,"56500"
"48",Vermilion,LA,"22","113","57",VERMILION PARISH,57999,"57537"
"49",Iberia,LA,"22","045","23",IBERIA PARISH,73240,"57811"
"50",Iberville,LA,"22","047","24",IBERVILLE PARISH,33387,"57459"
"51",St. James,LA,"22","093","47",ST. JAMES PARISH,22102,"64536"
"52",St. John the Baptist,LA,"22","095","48",ST. JOHN THE BAPTIST PARISH,45924,"67418"
"53",Pointe Coupee,LA,"22","077","39",POINTE COUPEE PARISH,22802,"59351"
"54",Ascension,LA,"22","005","03",ASCENSION PARISH,107215,"92266"
"55",West Baton Rouge,LA,"22","121","61",WEST BATON ROUGE PARISH,23788,"87320"
"56",East Feliciana,LA,"22","037","19",EAST FELICIANA PARISH,20267,"72899"
"57",St. Helena,LA,"22","091","46",ST. HELENA PARISH,11203,"50193"
"58",West Feliciana,LA,"22","125","63",WEST FELICIANA PARISH,15625,"74277"
"59",St. Martin,LA,"22","099","50",ST. MARTIN PARISH,52160,"53394"
"60",Assumption,LA,"22","007","04",ASSUMPTION PARISH,23421,"52546"
"61",East Baton Rouge,LA,"22","033","17",EAST BATON ROUGE PARISH,440171,"63075"
"62",Livingston,LA,"22","063","32",LIVINGSTON PARISH,128026,"78617"
"63",Lafourche,LA,"22","057","29",LAFOURCHE PARISH,96318,"63439"
"64",Lafayette,LA,"22","055","28",LAFAYETTE PARISH,221578,"67660"
